slug,slot_id,slot_type,file,line,status
concert-tax,,editorial-line,old/_workbench/concert-tax-cards.html,237,closed-superseded
concert-tax,,editorial-line,old/_workbench/concert-tax-cards.html,403,closed-superseded
concert-tax,,editorial-line,old/_workbench/concert-tax-cards.html,448,closed-superseded
concert-tax,,editorial-line,old/_workbench/concert-tax-cards.html,463,closed-superseded
concert-tax,,editorial-line,old/_workbench/concert-tax-cards.html,565,closed-superseded
concert-tax,,editorial-line,_data/archive/concert-tax-index.html,651,closed-superseded
concert-tax,,editorial-line,_data/archive/concert-tax-index.html,863,closed-superseded
concert-tax,,editorial-line,_data/archive/concert-tax-index-v2.html,698,closed-superseded
concert-tax,,editorial-line,_data/archive/concert-tax-index-v2.html,918,closed-superseded
concert-tax,,body-copy,_data/archive/concet-index-old.html,433,closed-superseded
concert-tax,,editorial-line,_data/archive/concet-index-old.html,471,closed-superseded
concert-tax,,body-copy,_data/archive/concet-index-old.html,594,closed-superseded
concert-tax,,editorial-line,_data/archive/concet-index-old.html,652,closed-superseded
concert-tax,,editorial-line,_data/archive/concet-index-old.html,693,closed-superseded
concert-tax,,editorial-line,_data/archive/concet-index-old.html,706,closed-superseded
concert-tax,,body-copy,_data/archive/concet-index-old.html,718,closed-superseded
concert-tax,,body-copy,_data/archive/concet-index-old.html,794,closed-superseded
concert-tax,,editorial-line,_data/archive/concet-index-old.html,865,closed-superseded
concert-tax,,body-copy,_data/archive/concet-index-old.html,877,closed-superseded
concert-tax,,other-copy,_data/archive/concet-index-old.html,984,closed-superseded
concert-tax,,other-copy,_data/archive/concert-tax-COPY-DRAFT-2026-04-27.md,5,closed-superseded
concert-tax,,other-copy,_data/archive/concert-tax-COPY-DRAFT-2026-04-27.md,21,closed-superseded
concert-tax,,other-copy,_data/archive/concert-tax-COPY-DRAFT-2026-04-27.md,33,closed-superseded
concert-tax,,other-copy,_data/archive/concert-tax-COPY-DRAFT-2026-04-27.md,49,closed-superseded
concert-tax,,other-copy,_data/archive/concert-tax-COPY-DRAFT-2026-04-27.md,56,closed-superseded
concert-tax,,other-copy,_data/archive/concert-tax-COPY-DRAFT-2026-04-27.md,66,closed-superseded
